name, url, language, country
DokuWiki, https://www.dokuwiki.org/feed.php, en-US, Worldwide
Feed of "MarvinsMastodonTools/tootbot", https://codeberg.org/MarvinsMastodonTools/tootbot.atom, en-US, Worldwide
Feed of "MarvinsMastodonTools/feed2fedi", https://codeberg.org/MarvinsMastodonTools/feed2fedi.atom, en-US, Worldwide
Feed of "RightToPrivacy/wipri", http://gg6zxtreajiijztyy5g6bt5o6l3qu32nrg7eulyemlhxwwl6enk6ghad.onion/RightToPrivacy/wipri.atom, en-US, Worldwide
Feed of "RightToPrivacy", http://gg6zxtreajiijztyy5g6bt5o6l3qu32nrg7eulyemlhxwwl6enk6ghad.onion/RightToPrivacy.atom, en-US, Worldwide
firefish activity, https://git.joinfirefish.org/firefish/firefish.atom, en-US, Worldwide
funkwhale activity, https://dev.funkwhale.audio/funkwhale/funkwhale.atom, en-US, Worldwide
Howler activity, https://gitlab.com/awoo.fyi/howler.atom, en-US, Worldwide
firefish activity, https://git.joinfirefish.org/firefish/firefish.atom, en-US, Worldwide
Feed of "calckey/calckey", https://codeberg.org/calckey/calckey.atom, en-US, Worldwide
gajim activity, https://dev.gajim.org/gajim/gajim.atom, en-US, France
Bugs in qutim, http://feeds.launchpad.net/qutim/latest-bugs.atom, en-US, Russia
Feed of "poezio/slixmpp", https://codeberg.org/poezio/slixmpp.atom, en-US, France
Feed of "JoinJabber", https://codeberg.org/joinjabber.rss, en-US, Worldwide
Feed of "poezio/poezio", https://codeberg.org/poezio/poezio.atom, en-US, France
Feed of "poezio/biboumi", https://codeberg.org/poezio/biboumi.atom, en-US, France
OpenTalk activity, https://gitlab.opencode.de/opentalk.atom, en-US, Worldwide
