name, url, language, country
Torlock, https://www.torlock.com/rss.xml, en-US, Worldwide
AndroidKino, https://androidkino.net/rss.xml, ru-RU, Russia
AngieTorrents, https://angietorrents.cc/rss.php?custom=1, en-US, Worldwide
AniDex Tracker, https://anidex.info/rss/, ja-JA, Japan
AniRena, https://www.anirena.com/rss.php, ja-JA, Japan
AudioBook Bay, https://audiobookbay.is/feed/atom/, en-US, Worldwide
Bangumi Moe, https://bangumi.moe/rss/latest, en-US, Worldwide
EZTV, https://eztv.re/ezrss.xml, en-US, Worldwide
FireBit, http://firebit.org/rss.xml, en-US, Worldwide
FOSS Torrents - Distributions, https://fosstorrents.com/feed/distribution.xml, en-US, Worldwide
FOSS Torrents - Games, https://fosstorrents.com/feed/game.xml, en-US, Worldwide
FOSS Torrents - Softwares, https://fosstorrents.com/feed/software.xml, en-US, Worldwide
Install Guide Games, https://igg-games.com/feed, en-US, Worldwide
Lime Torrents, https://www.limetorrents.lol/rss/, en-US, Worldwide
Nyaa, https://nyaa.si/?page=rss, en-US, Worldwide
PCGamesTorrents, https://pcgamestorrents.com/feed, en-US, Worldwide
Postman, http://tracker2.postman.i2p/?view=AddRSSMap, en-US, Worldwide
RARBG, https://rarbg.to/rss.php, en-US, Worldwide
RUTOR (EN/RU), http://rutor.info/rss.php, en-US, Russia
SkTorrent, https://sktorrent.org/feed_rss.xml, en-US, Worldwide
The Pirate Bay, https://tpb.party/rss, en-US, Worldwide
Tokyo Toshokan, https://tokyo-tosho.net/rss.php, en-US, Worldwide
Tokyo Toshokan, https://www.tokyotosho.info/rss.php, en-US, Worldwide
Torrent911, https://www.torrent911.me/rss, es-ES, Spain
Torrent Download, https://www.torrentdownload.info/feed_latest, en-US, Worldwide
Torrent Downloads, https://www.torrentdownloads.pro/rss.xml, en-US, Worldwide
TorrentGalaxy, https://torrentgalaxy.to/rss, en-US, Worldwide
Книжный трекер, https://booktracker.org/rss.php, ru-RU, Russia
Торрент игры, https://gamestracker.org/torrents/rss/, ru-RU, Russia
