name, url, language, country
Panic Blog, https://www.panic.com/blog/feed/, en-US, United States
Necuno Solutions, https://necunos.com/feed.xml, en-US, Finland
Debricked, https://debricked.com/blog/feed/, en-US, Europe
Linaro - Arm-based solutions, https://www.linaro.org/feed.xml, en-US, United States
Jolla, https://jolla.com/feed/, en-US, Finland
Seafarix, https://seafarix.com/feed/, en-US, Finland
Weingärtner IT Services, https://weingaertner-it.de/index.php/feed/, de-DE, Germany
PC/OpenSystems LLC, https://www.pc-opensystems.com/feeds/posts/default, en-US, North Carolina
ScalarX, https://scalarx.com/feed/, en-IE, Ireland
Home on Freexian, https://www.freexian.com/index.xml, en-US, France
Debian Long Term Support on Freexian, https://www.freexian.com/lts/debian/index.xml, en-US, France
BairesDev, https://www.bairesdev.com/feed/, en-US, United States
Twilio, https://www.twilio.com/blog/feed?locale=en, en-US, United States
PythonAnywhere, https://blog.pythonanywhere.com/index.xml, en-US, Texas
SourceForge, https://fosstodon.org/@sourceforge.rss, en-US, California
