name, url, language, country
Agri-Food and Biosciences Institute (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/agri-food-and-biosciences-institute.atom, en-UK, United Kingdom
Arts Council of Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/arts-council-of-northern-ireland.atom, en-UK, United Kingdom
Boundary Commission for Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/boundary-commission-for-northern-ireland.atom, en-UK, United Kingdom
Department for Communities (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-for-communities-northern-ireland.atom, en-UK, United Kingdom
Department for Infrastructure (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-for-infrastructure-northern-ireland.atom, en-UK, United Kingdom
Department for the Economy (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-for-the-economy-northern-ireland.atom, en-UK, United Kingdom
"Department of Agriculture, Environment and Rural Affairs (Northern Ireland) - Activity on GOV.UK", https://www.gov.uk/government/organisations/department-of-agriculture-environment-and-rural-affairs-northern-ireland.atom, en-UK, United Kingdom
Department of Education (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-of-education.atom, en-UK, United Kingdom
Department of Finance (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-of-finance-northern-ireland.atom, en-UK, United Kingdom
Department of Health (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-of-health-northern-ireland.atom, en-UK, United Kingdom
Department of Justice (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/department-of-justice-northern-ireland.atom, en-UK, United Kingdom
HSC Business Services Organisation (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/hsc-business-services-organisation-northern-ireland.atom, en-UK, United Kingdom
Invest Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/invest-northern-ireland.atom, en-UK, United Kingdom
Labour Relations Agency (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/labour-relations-agency.atom, en-UK, United Kingdom
Legal Services Agency (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/legal-services-agency-northern-ireland.atom, en-UK, United Kingdom
Livestock and Meat Commission for Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/livestock-and-meat-commission-for-northern-ireland.atom, en-UK, United Kingdom
Northern Ireland Cancer Registry - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-cancer-registry.atom, en-UK, United Kingdom
"Northern Ireland Council for the Curriculum, Examinations and Assessment - Activity on GOV.UK", https://www.gov.uk/government/organisations/northern-ireland-council-for-the-curriculum-examinations-and-assessment.atom, en-UK, United Kingdom
Northern Ireland Courts and Tribunals Service - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-court-service.atom, en-UK, United Kingdom
Northern Ireland Executive - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-executive.atom, en-UK, United Kingdom
Northern Ireland Housing Executive - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-housing-executive.atom, en-UK, United Kingdom
Northern Ireland Human Rights Commission - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-human-rights-commission.atom, en-UK, United Kingdom
Northern Ireland Office - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-office.atom, en-UK, United Kingdom
Northern Ireland Policing Board - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-policing-board.atom, en-UK, United Kingdom
Northern Ireland Prison Service - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-prison-service.atom, en-UK, United Kingdom
Northern Ireland Statistics and Research Agency - Activity on GOV.UK, https://www.gov.uk/government/organisations/northern-ireland-statistics-and-research-agency.atom, en-UK, United Kingdom
Office of the Police Ombudsman for Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/office-of-the-police-ombudsman-for-northern-ireland.atom, en-UK, United Kingdom
Parades Commission for Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/parades-commission-for-northern-ireland.atom, en-UK, United Kingdom
Police Service of Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/police-service-of-northern-ireland.atom, en-UK, United Kingdom
Probation Board for Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/probation-board-for-northern-ireland.atom, en-UK, United Kingdom
Public Health Agency (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/public-health-agency-northern-ireland.atom, en-UK, United Kingdom
Public Prosecution Service for Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/public-prosecution-service-for-northern-ireland.atom, en-UK, United Kingdom
Sport Northern Ireland (Sports Council for Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/sports-council-for-northern-ireland.atom, en-UK, United Kingdom
The Executive Office (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/the-executive-office-northern-ireland.atom, en-UK, United Kingdom
Youth Justice Agency of Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/youth-justice-agency-of-northern-ireland.atom, en-UK, United Kingdom
