name, url, language, country
Academy for Social Justice - Activity on GOV.UK, https://www.gov.uk/government/organisations/academy-for-social-justice.atom, en-UK, United Kingdom
Accelerated Capability Environment - Activity on GOV.UK, https://www.gov.uk/government/organisations/accelerated-capability-environment.atom, en-UK, United Kingdom
Active Travel England - Activity on GOV.UK, https://www.gov.uk/government/organisations/active-travel-england.atom, en-UK, United Kingdom
Administration of Radioactive Substances Advisory Committee - Activity on GOV.UK, https://www.gov.uk/government/organisations/administration-of-radioactive-substances-advisory-committee.atom, en-UK, United Kingdom
Advanced Research and Invention Agency - Activity on GOV.UK, https://www.gov.uk/government/organisations/advanced-research-and-invention-agency.atom, en-UK, United Kingdom
Advisory Committee on Animal Feedingstuffs - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-animal-feedingstuffs.atom, en-UK, United Kingdom
Advisory Committee on Business Appointments - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-business-appointments.atom, en-UK, United Kingdom
Advisory Committee on Clinical Impact Awards - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-clinical-impact-awards.atom, en-UK, United Kingdom
Advisory Committee on Conscientious Objectors - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-conscientious-objectors.atom, en-UK, United Kingdom
Advisory Committee on Novel Foods and Processes - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-novel-foods-and-processes.atom, en-UK, United Kingdom
Advisory Committee on Releases to the Environment - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment.atom, en-UK, United Kingdom
Advisory Committee on the Microbiological Safety of Food - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committee-on-the-microbiological-safety-of-food.atom, en-UK, United Kingdom
Advisory Committees on Justices of the Peace - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-committees-on-justices-of-the-peace.atom, en-UK, United Kingdom
"Advisory, Conciliation and Arbitration Service - Activity on GOV.UK", https://www.gov.uk/government/organisations/acas.atom, en-UK, United Kingdom
Advisory Council on the Misuse of Drugs - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-council-on-the-misuse-of-drugs.atom, en-UK, United Kingdom
Advisory Group on Military and Emergency Response Medicine - Activity on GOV.UK, https://www.gov.uk/government/organisations/advisory-group-on-military-medicine.atom, en-UK, United Kingdom
Agriculture and Horticulture Development Board - Activity on GOV.UK, https://www.gov.uk/government/organisations/agriculture-and-horticulture-development-board.atom, en-UK, United Kingdom
Agri-Food and Biosciences Institute (Northern Ireland) - Activity on GOV.UK, https://www.gov.uk/government/organisations/agri-food-and-biosciences-institute.atom, en-UK, United Kingdom
Air Accidents Investigation Branch - Activity on GOV.UK, https://www.gov.uk/government/organisations/air-accidents-investigation-branch.atom, en-UK, United Kingdom
Animal and Plant Health Agency - Activity on GOV.UK, https://www.gov.uk/government/organisations/animal-and-plant-health-agency.atom, en-UK, United Kingdom
Animals in Science Committee - Activity on GOV.UK, https://www.gov.uk/government/organisations/animals-in-science-committee.atom, en-UK, United Kingdom
Architects Registration Board - Activity on GOV.UK, https://www.gov.uk/government/organisations/architects-registration-board.atom, en-UK, United Kingdom
Armed Forces Covenant Fund Trust - Activity on GOV.UK, https://www.gov.uk/government/organisations/armed-forces-covenant-fund-trust.atom, en-UK, United Kingdom
Armed Forces' Pay Review Body - Activity on GOV.UK, https://www.gov.uk/government/organisations/armed-forces-pay-review-body.atom, en-UK, United Kingdom
Arts and Humanities Research Council - Activity on GOV.UK, https://www.gov.uk/government/organisations/arts-and-humanities-research-council.atom, en-UK, United Kingdom
Arts Council England - Activity on GOV.UK, https://www.gov.uk/government/organisations/arts-council-england.atom, en-UK, United Kingdom
Arts Council of Northern Ireland - Activity on GOV.UK, https://www.gov.uk/government/organisations/arts-council-of-northern-ireland.atom, en-UK, United Kingdom
Arts Council of Wales - Activity on GOV.UK, https://www.gov.uk/government/organisations/arts-council-of-wales.atom, en-UK, United Kingdom
Atomic Weapons Establishment - Activity on GOV.UK, https://www.gov.uk/government/organisations/atomic-weapons-establishment.atom, en-UK, United Kingdom
Attorney General's Office - Activity on GOV.UK, https://www.gov.uk/government/organisations/attorney-generals-office.atom, en-UK, United Kingdom
Bank of England - Activity on GOV.UK, https://www.gov.uk/government/organisations/bank-of-england.atom, en-UK, United Kingdom
BBC - Activity on GOV.UK, https://www.gov.uk/government/organisations/bbc.atom, en-UK, United Kingdom
BBC World Service - Activity on GOV.UK, https://www.gov.uk/government/organisations/bbc-world-service.atom, en-UK, United Kingdom
Biometrics and Forensics Ethics Group - Activity on GOV.UK, https://www.gov.uk/government/organisations/biometrics-and-forensics-ethics-group.atom, en-UK, United Kingdom
Biometrics and Surveillance Camera Commissioner - Activity on GOV.UK, https://www.gov.uk/government/organisations/biometrics-and-surveillance-camera-commissioner.atom, en-UK, United Kingdom
Biotechnology and Biological Sciences Research Council - Activity on GOV.UK, https://www.gov.uk/government/organisations/biotechnology-biological-sciences-research-council.atom, en-UK, United Kingdom
Board of Trustees of the Royal Botanic Gardens Kew - Activity on GOV.UK, https://www.gov.uk/government/organisations/board-of-trustees-of-the-royal-botanic-gardens-kew.atom, en-UK, United Kingdom
Bona Vacantia - Activity on GOV.UK, https://www.gov.uk/government/organisations/bona-vacantia.atom, en-UK, United Kingdom
