name, url, language, country
CryptoSlate, https://cryptoslate.com/feed/, en-US, United States
CryptoPotato, https://cryptopotato.com/feed/, en-US, United States
Decrypt, https://decrypt.co/feed, en-US, United States
Monero Observer, https://monero.observer/feed-mini.xml, en-US, Worldwide
Ctrl blog: Crypto-currencies, https://feed.ctrl.blog/topic/crypto-currencies.atom, en-US, United States
Monero Observer (stories), https://monero.observer/feed-stories-mini.xml, en-US, Worldwide
Monero Observer (summaries), https://monero.observer/feed-summaries.xml, en-US, Worldwide
Monero, https://www.getmonero.org/feed.xml, en-US, Worldwide
Cryptocurrency – Simplified Privacy, https://simplifiedprivacy.com/category/cryptocurrency/feed/, en-US, Cambodia
Particl News, https://particl.news/rss, en-US, Worldwide
