name, url, language, country
Tristan B. Velloza Kildaire, https://gleasonator.com/@deavmi, en-ZA, South Africa
Karl Bartel's Website, https://www.karl.berlin/atom.xml, en-US, Germany
Newest Python PEPs, https://peps.python.org/peps.rss/, en-US, Worldwide
Victor Stinner blog 3, https://vstinner.github.io/feeds/all.atom.xml, en-US, Worldwide
Victor Stinner 🐍, https://mamot.fr/@vstinner.rss, en-US, Worldwide
camen design, https://camendesign.com/rss, en-US, United States
Hugo Barrera, https://whynothugo.nl/posts.xml, en-US, Netherlands
LZone | Devops, https://lzone.de/feed/devops.xml, en-US, Germany
Leonora Tindall on Nora Codes, https://nora.codes/index.xml, en-US, United States
code monk | hacking habits, https://drj11.wordpress.com/feed/, en-US, United States
Machina Speculatrix, https://mansfield-devine.com/speculatrix/feed/, en-US, Worldwide
Lainblog, https://blog.soykaf.com/index.xml, en-US, Worldwide
