name, url, language, country
Liliputing, https://liliputing.com/feed/, en-US, Worldwide
camen design, https://camendesign.com/rss, en-US, United States
computers are bad, https://computer.rip/rss.xml, en-US, Worldwide
Jacob McCormick, https://mccor.xyz/rss.xml, en-US, United States
OpenNews.opennet.ru: Общая лента новостей, https://www.opennet.ru/opennews/opennews_all_utf.rss, ru-RU, Russia
ju_hnny5, https://blog.jbriault.fr/rss/, fr-FR, France
Lazy Reading | The Cyber Vanguard, https://cyber.dabamos.de/blog/feed.rss, en-US, United States
XXIIVV, https://wiki.xxiivv.com/links/rss.xml, en-US, Canada
drkhsh, https://drkhsh.at/atom.xml, en-US, Austria
Codemadness, https://codemadness.org/atom.xml, en-US, United States
Leonora Tindall on Nora Codes, https://nora.codes/index.xml, en-US, United States
Proycon's website, https://proycon.anaproy.nl/rss.xml, en-US, Netherlands
Nathan R. Yergler, https://yergler.net/feed.xml, en-US, United States
ynet - דיגיטל, https://www.ynet.co.il/Integration/StoryRss544.xml, he-IL, Israel
schollz, https://schollz.com/index.xml, en-US, United States
LZone | Devops, https://lzone.de/feed/devops.xml, en-US, Germany
The Logs, https://www.flu0r1ne.net/logs/rss.xml, en-US, United States
Newest Python PEPs, https://peps.python.org/peps.rss/, en-US, Worldwide
Ctrl blog: Mobile Apps, https://feed.ctrl.blog/topic/mobile-apps.atom, en-US, United States
Chiportal, https://chiportal.co.il/feed/, he-IL, Israel
Hackaday, https://hackaday.com/feed/, en-US, United States
Amethyst Reese, https://noswap.com/feed.xml, en-US, United States
electro·pizza, https://electro.pizza/feed.xml, en-US, United States
Laslo Hunhold, https://laslo.hunhold.de/index.xml, en-US, Germany
VironIT, https://vironit.com/feed/, en-US, Georgia
Necuno Solutions, https://necunos.com/feed.xml, en-US, Finland
Flipper Blog, https://blog.flipper.net/rss/, en-US, United States
Tristan B. Velloza Kildaire, https://gleasonator.com/@deavmi, en-ZA, South Africa
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
FSFE News, https://fsfe.org/news/news.en.rss, en-US, Germany
FSFE News (DE), https://fsfe.org/news/news.de.rss, de-DE, Germany
FSFE News (FR), https://fsfe.org/news/news.fr.rss, fr-FR, Germany
Free Software Foundation Europe, https://mastodon.social/@fsfe.rss, en-US, Germany
heise online News, https://www.heise.de/rss/heise-atom.xml, de-DE, Germany
c't Magazin, https://social.heise.de/@ct_Magazin.rss, de-DE, Germany
GNOME adventures in mobile, https://blogs.gnome.org/pabloyoyoista/feed/, en-US, United States
EFF's Deeplinks Blog, https://www.eff.org/rss/updates.xml, en-US, United States
Heracles Papatheodorou • heracl.es, https://heracl.es/feed.xml, en-US, United States
Aphrodite.dev, https://www.aphrodite.dev/~blog/feed.xml, en-US, United States
Quinlan Pfiffer's Site, https://q.pfiffer.org/feed.xml, en-US, United States
mrshll.com, https://mrshll.com/feed.rss, en-US, United States
9to5Linux, https://9to5linux.com/feed, en-US, United States
TuxPhones, https://tuxphones.com/rss/, en-US, United States
OpenSource.net, https://opensource.net/feed/, en-US, United States
Collabora Office and Collabora Online, https://www.collaboraoffice.com/feed/, en-US, United States
LGUG2Z, https://lgug2z.com/index.xml, en-US, United States
Karl Bartel's Website, https://www.karl.berlin/atom.xml, en-US, Germany
Victor Stinner blog 3, https://vstinner.github.io/feeds/all.atom.xml, en-US, Worldwide
Victor Stinner 🐍, https://mamot.fr/@vstinner.rss, en-US, Worldwide
Hugo Barrera's site, https://whynothugo.nl/posts.xml, en-US, United States
Ηρακλής Παπαθεοδώρου • heracl.es, https://heracl.es/el/feed.xml, el-GR, Greece
Heracles Papatheodorou • heracl.es, https://heracl.es/feed.xml, en-US, Greece
Solene'%, https://dataswamp.org/~solene/rss.xml, en-US, United States
Solene'%, https://dataswamp.org/~solene/rss-html.xml, en-US, United States
Camen Design Forum, https://forum.camendesign.com/index.xml, en-US, United States
dthompson, https://dthompson.us/feed.xml, en-US, Worldwide
alexander cobleigh (articles), https://cblgh.org/articles.xml, en-US, United States
Debricked, https://debricked.com/blog/feed/, en-US, United States
out there in space, https://dataswamp.org/~lich/atom.xml, en-US, United States
journal de prx, https://si3t.ch/log/atom.xml, fr-FR, Switzerland
Kitty Cat, https://kitty.social/@Kitty.rss, en-US, Worldwide
Stephen Foskett, Pack Rat, http://feeds.fosketts.net/StephenFoskettPackRat, en-US, United States
Apple, http://feeds.fosketts.net/StephenFoskettPackRat_Apple, en-US, United States
Computer History, http://feeds.fosketts.net/StephenFoskettPackRat_ComputerHistory, en-US, United States
Enterprise Storage, http://feeds.fosketts.net/StephenFoskettPackRat_EnterpriseStorage, en-US, United States
Personal, http://feeds.fosketts.net/StephenFoskettPackRat_Personal, en-US, United States
Terabyte Home, http://feeds.fosketts.net/StephenFoskettPackRat_TerabyteHome, en-US, United States
Virtual Storage, http://feeds.fosketts.net/StephenFoskettPackRat_VirtualStorage, en-US, United States
