name, url, language, country
computers are bad, https://computer.rip/rss.xml, en-US, Worldwide
Jacob McCormick, https://mccor.xyz/rss.xml, en-US, USA
ju_hnny5, https://blog.jbriault.fr/rss/, fr-FR, France
Lazy Reading | The Cyber Vanguard, https://cyber.dabamos.de/blog/feed.rss, en-US, USA
XXIIVV, https://wiki.xxiivv.com/links/rss.xml, en-US, Canada
Proycon's website, https://proycon.anaproy.nl/rss.xml, en-US, Netherlands
Nathan R. Yergler, https://yergler.net/feed.xml, en-US, USA
ynet - דיגיטל, https://www.ynet.co.il/Integration/StoryRss544.xml, he-IL, Israel
schollz, https://schollz.com/index.xml, en-US, USA
The Logs, https://www.flu0r1ne.net/logs/rss.xml, en-US, USA
