name, url, language, country
Jerm Warfare, https://jermwarfare.com/feed, en-US, United States
The Organic Prepper, https://www.theorganicprepper.com/feed/, en-US, United States
The Public Domain Review, https://publicdomainreview.org/rss.xml, en-US, United States
ynet - תרבות, https://www.ynet.co.il/Integration/StoryRss538.xml, he-IL, Israel
ynet - Culture, https://www.ynet.co.il/Integration/StoryRss3086.xml, en-IL, Israel
ynet - חדר משלך, https://www.ynet.co.il/Integration/StoryRss4111.xml, he-IL, Israel
Tampa Free Press, https://www.tampafp.com/feed/, en-US, United States
Deutsche Welle: DW.com KULTUR & LEBEN, http://rss.dw.com/atom/rss-de-cul, de-DE, Germany
Deutsche Welle: DW.com KULTUR & LEBEN: BÜCHER, http://rss.dw.com/atom/rss-de-cul-buch, de-DE, Germany
Fakeologist, https://fakeologist.com/feed/, en-US, Canada
Deutsche Welle: DW.com KULTUR & LEBEN: FILM, http://rss.dw.com/atom/rss-de-cul-film, de-DE, Germany
Deutsche Welle: DW.com KULTUR & LEBEN: MUSIK, http://rss.dw.com/atom/rss-de-cul-musik, de-DE, Germany
Deutsche Welle: DW.com DEUTSCHLAND ENTDECKEN, http://rss.dw.com/atom/rss-de-deutschlandentdecken, de-DE, Germany
Kopimi, https://kopimi.com/feed/, en-US, Sweden
Mashable, https://mashable.com/feeds/rss/all, en-US, United States
За вашу и нашу Свободу!, https://lev-sharansky2.livejournal.com/data/atom, ru-RU, Russia
Meduza.io, https://meduza.io/rss/en/all, en-US, United States

