name, url, language, country
Jan Wagemakers, https://www.janwagemakers.be/jekyll/feed.xml, en-US, Belgium
The Logs, https://www.flu0r1ne.net/logs/rss.xml, en-US, United States
Flipper Blog, https://blog.flipper.net/rss/, en-US, United States
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
FSFE News, https://fsfe.org/news/news.en.rss, en-US, Germany
FSFE News (DE), https://fsfe.org/news/news.de.rss, de-DE, Germany
FSFE News (FR), https://fsfe.org/news/news.fr.rss, fr-FR, Germany
heise online News, https://www.heise.de/rss/heise-atom.xml, de-DE, Germany
Truthstream Media, https://truthstreammedia.com/feed/, en-US, United States
c't Magazin, https://social.heise.de/@ct_Magazin.rss, de-DE, Germany
electro·pizza, https://electro.pizza/feed.xml, en-US, United States
IdleBlog, http://blog.idleman.fr/feed/, fr-FR, France
Ηρακλής Παπαθεοδώρου • heracl.es, https://heracl.es/el/feed.xml, el-GR, Greece
Heracles Papatheodorou • heracl.es, https://heracl.es/feed.xml, en-US, Greece
Machina Speculatrix, https://mansfield-devine.com/speculatrix/feed/, en-US, Worldwide
Big Mess o' Wires, https://www.bigmessowires.com/feed/atom/, en-US, Worldwide
