name, url, language, country
Fakeologist, https://fakeologist.com/feed/, en-US, Canada
The Corbett Report, https://www.corbettreport.com/feed/, en-US, Japan
ZeroGov, https://zerogov.com/feed/, en-US, United States
Daily Stormer, https://dailystormer.in/feed/, en-US, United States
Truthstream Media, https://truthstreammedia.com/feed/, en-US, United States
The Organic Prepper, https://www.theorganicprepper.com/feed/, en-US, United States
The Hill News, https://thehill.com/feed/?feed=partnerfeed-news-feed&format=rss, en-US, United States
Jerm Warfare, https://jermwarfare.com/feed, en-US, United States
Kirksville Today, https://www.kirksvilletoday.com/feed/, en-US, United States
nobulart - Exploring the Great Reset, https://nobulart.com/feed/, en-US, United States
John W. Whitehead, Constitutional Attorney, https://agovernmentofwolves.com/feed/, en-US, United States
BlackListed News, https://www.blacklistednews.com/rss.php, en-US, United States
Tampa Free Press, https://www.tampafp.com/feed/, en-US, United States
Mami's Shit, http://grizzom.blogspot.com/feeds/posts/default, en-US, United States
Deutsche Welle: DW.com POLITIK, http://rss.dw.com/atom/rss_de_politik, de-DE, Germany
Real Liberty Media, https://www.reallibertymedia.com/feed/, en-US, United States
Robert Reich, https://robertreich.substack.com/feed, en-US, United States
Historic.ly, https://www.historicly.net/feed, en-US, United States
Reclaim The Net, https://reclaimthenet.org/feed, en-US, United States
ZDFheute, https://www.zdf.de/rss/zdf/nachrichten, de-DE, Germany
Sam Bent aka DoingFedTime, https://www.doingfedtime.com/feed/, en-US, United States
(RTP) Privacy & Tech Tips, https://fosstodon.org/@RTP.rss, en-US, Worldwide
the OpenAustralia Foundation, https://www.oaf.org.au/feed/, en-AU, Australia
Vanguard News Network, http://www.vanguardnewsnetwork.com/feed/, en-US, United States
National Vanguard, https://nationalvanguard.org/feed/, en-US, United States
Voice of America, https://www.voanews.com/api/, en-US, United States
