name, url, language, country
soeren-hentzschel.at - Aktuelles zu Mozilla, https://www.soeren-hentzschel.at/feed/, de-DE, Germany
WordPress.com News, https://wordpress.com/blog/feed/, en-US, United States
Micro.blog News, https://news.micro.blog/feed.xml, en-US, United States
EFF Action Center, https://act.eff.org/action.atom, en-US, United States
Melon's Thoughts - Guidebooks, https://thoughts.melonking.net/atom/?section=guides, en-US, United States
thecozy.cat, https://thecozy.cat/feed/, en-US, United States
Melon's Thoughts, https://thoughts.melonking.net/atom/, en-US, United States
An RSS Blog, https://www.rss-specifications.com/blog-feed.xml, en-US, United States
The Blog Starter, https://www.theblogstarter.com/feed/, en-US, United States
Mozilla Hacks, https://hacks.mozilla.org/feed/, en-US, United States
