name, url, language, country
Stories by Williams, https://storiesbywilliams.com/feed/, en-US, United States
Lili Saintcrow, https://www.lilithsaintcrow.com/feed/, en-US, United States
Shannon Kay, https://blog.shannonkay.me/feed.xml, en-US, United States
V.K. Dixon, https://vkdixon.substack.com/feed, en-US, United States
Business Writing Info Blog, https://www.instructionalsolutions.com/blog/rss.xml, en-US, United States
Michael W Lucas, https://mwl.io/feed, en-US, United States
classless Kulla, https://www.classless.org/feed/atom/, de-DE, Germany
classless Kulla, https://www.classless.org/feed/atom/, en-US, Germany
National Novel Writing Month, https://blog.nanowrimo.org/rss, en-US, California
thecozy.cat, https://thecozy.cat/feed/, en-US, Worldwide
