name, url, language, country
Alle Neuigkeiten von jotwewe.de, http://www.jotwewe.de/alles_de.xml, en-US, Germany
Alle Neuigkeiten von jotwewe.de, http://www.jotwewe.de/alles_de.xml, de-DE, Germany
Jan Wagemakers, https://www.janwagemakers.be/jekyll/feed.xml, en-US, Belgium
immanuel60, https://immanuel60.hu/feed/, hu-HU, Hungary
Hugo Barrera, https://whynothugo.nl/posts.xml, en-US, Netherlands
Remko Tronçon (mko.re), https://el-tramo.be/feed.xml, en-US, Germany
Hacking around oppressions, https://bouah.net/index.xml, en-US, France
iMOM, https://www.imom.com/feed/, en-US, United States
Mario Sabatino Gemini capsule, https://gemini.sabatino.cloud/rss.xml, it-IT, Italy
Mom on a Mission, https://www.mom-on-a-mission.blog/all-posts?format=rss, en-US, United States
Michael W Lucas, https://mwl.io/feed, en-US, United States
Alixander Court, https://alixandercourt.com/feed/, en-US, United States
Anjan Momi, https://momi.ca/feed.xml, en-US, United States
Amethyst Reese, https://noswap.com/feed.xml, en-US, United States
Dan d'Auge, https://fedi.thechangebook.org/feed/dandauge, fr-FR, France
Dan d'Auge, https://mamot.fr/@dandauge.rss, fr-FR, France
Christof Meerwald, https://cmeerw.org/blog.atom, en-US, Austria
Christof Meerwald, http://cmeerw.org/blog.rdf, en-US, Austria
PureTryOut, https://mastodon.fam-ribbers.com/@bart.rss, en-US, Netherlands
Tristan B. Velloza Kildaire, https://gleasonator.com/@deavmi, en-ZA, South Africa
Blog on Bart Ribbers - PureTryOut, https://fam-ribbers.com/blog/index.xml, en-US, Netherlands
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
Oliver Smith, https://fosstodon.org/@ollieparanoid, en-US, Germany
drkhsh, https://drkhsh.at/atom.xml, en-US, Austria
Personal, http://feeds.fosketts.net/StephenFoskettPackRat_Personal, en-US, United States
Codemadness, https://codemadness.org/atom.xml, en-US, United States
Keywan Tonekaboni, https://social.heise.de/@ktn.rss, de-DE, Germany
keywan, https://chaos.social/@keywan.rss, de-DE, Germany
foreverliketh.is, https://foreverliketh.is/blog/index.xml, en-US, United States
out there in space, https://dataswamp.org/~lich/atom.xml, en-US, United States
unique hazards may exist, https://uniquehazards.com/feed.xml, en-US, United States
Aphrodite.dev, https://www.aphrodite.dev/~blog/feed.xml, en-US, United States
a walkaway story, http://xj-ix.luxe/feed.atom, en-US, United States
Detritus, https://detritus.zone/feed.xml, en-US, United States
He Can Jog, https://hecanjog.com/all.rss, en-US, United States
XXIIVV, https://wiki.xxiivv.com/links/rss.xml, en-US, United States
electro·pizza, https://electro.pizza/feed.xml, en-US, United States
Heracles Papatheodorou • heracl.es, https://heracl.es/feed.xml, en-US, United States
Aphrodite.dev, https://www.aphrodite.dev/~blog/feed.xml, en-US, United States
thecozy.cat, https://thecozy.cat/feed/, en-US, United States
Shannon Kay, https://blog.shannonkay.me/feed.xml, en-US, United States
Justine Smithies blog, https://justine.smithies.me.uk/atom.xml, en-US, United States
Justine Smithies, https://fosstodon.org/@JustineSmithies.rss, en-US, United States
Victor Stinner 🐍, https://mamot.fr/@vstinner.rss, en-US, Worldwide
lectronice :: now, https://now.lectronice.com/feed.xml, en-US, United States
Interconnected (Matt Webb), https://interconnected.org/home/feed, en-US, United States
metasyn.pw, https://metasyn.pw/rss.xml, en-US, United States
Mika Naylor, https://hordburh.autophagy.io/@mika.rss, en-US, United States
rezmason, https://merveilles.town/@rezmason.rss, en-US, United States
alexander cobleigh, https://cblgh.org/all.xml, en-US, United States
alexander cobleigh (updates), https://cblgh.org/updates.xml, en-US, United States
Daniel Aleksandersen, https://mastodon.daniel.priv.no/@da.rss, en-US, United States
Laslo Hunhold, https://laslo.hunhold.de/index.xml, en-US, Germany
Kitty Cat, https://kitty.social/@Kitty.rss, en-US, Worldwide
