name, url, language, country
Hacking around oppressions, https://bouah.net/index.xml, en-US, France
The Logs, https://www.flu0r1ne.net/logs/rss.xml, en-US, United States
Necuno Solutions, https://necunos.com/feed.xml, en-US, Finland
Why Privacy – Simplified Privacy, https://simplifiedprivacy.com/category/why-privacy/feed/, en-US, Cambodia
Phones & Service – Simplified Privacy, https://simplifiedprivacy.com/category/phones-service-2fa/feed/, en-US, Cambodia
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
FSFE News, https://fsfe.org/news/news.en.rss, en-US, Germany
Encryption & File Tools – Simplified Privacy, https://simplifiedprivacy.com/category/encryption-files/feed/, en-US, Cambodia
OpenNews.opennet.ru: Общая лента новостей, https://www.opennet.ru/opennews/opennews_all_utf.rss, ru-RU, Russia
Private Messengers & Apps – Simplified Privacy, https://simplifiedprivacy.com/category/private-messengers-apps/feed/, en-US, Cambodia
The Tutanota Blog, https://tuta.com/blog/feed.xml, en-US, Worldwide
SimpleX Chat, https://mastodon.social/@simplex.rss, en-US, Worldwide
FSFE News (DE), https://fsfe.org/news/news.de.rss, de-DE, Germany
FSFE News (FR), https://fsfe.org/news/news.fr.rss, fr-FR, Germany
EFF Action Center, https://act.eff.org/action.atom, en-US, United States
Spread Privacy, https://spreadprivacy.com/rss/, en-US, United States
Disroot Blog, https://disroot.org/en/blog.atom, en-US, Worldwide
Ctrl blog: Privacy, https://feed.ctrl.blog/topic/privacy.atom, en-US, United States
Reclaim The Net, https://reclaimthenet.org/feed, en-US, United States
404 Media, https://www.404media.co/rss/, en-US, United States
(RTP) Privacy & Tech Tips, https://fosstodon.org/@RTP.rss, en-US, Worldwide
Sam Bent aka DoingFedTime, https://www.doingfedtime.com/feed/, en-US, United States
Truthstream Media, https://truthstreammedia.com/feed/, en-US, United States
Big Tech is Evil – Simplified Privacy, https://simplifiedprivacy.com/category/big-tech-is-evil/feed/, en-US, Cambodia
Simplified Privacy, https://simplifiedprivacy.com/feed/, en-US, Cambodia
Virtual Machines – Simplified Privacy, https://simplifiedprivacy.com/category/virtual-machines/feed/, en-US, Cambodia
VPNs & Browsers – Simplified Privacy, https://simplifiedprivacy.com/category/vpns-browsers/feed/, en-US, Cambodia
Tor – Simplified Privacy, https://simplifiedprivacy.com/category/tor/feed/, en-US, Cambodia
