name, url, language, country
Developpez, https://www.developpez.com/index/atom, fr-FR, France
The Logs, https://www.flu0r1ne.net/logs/rss.xml, en-US, United States
CryptoSlate, https://cryptoslate.com/feed/, en-US, United States
Daily Stormer, https://dailystormer.in/feed/, en-US, United States
Futurism, https://futurism.com/feed, en-US, United States
Automation Rhapsody, https://automationrhapsody.com/feed/, en-US, United States
Deep Thoughts by Raymond Hettinger, https://rhettinger.wordpress.com/feed/, en-US, United States
Chiportal, https://chiportal.co.il/feed/, he-IL, Israel
Hackaday, https://hackaday.com/feed/, en-US, United States
Hacker News, https://news.ycombinator.com/rss, en-US, United States
Hacker News: Front Page, https://hnrss.org/frontpage, en-US, United States
Amethyst Reese, https://noswap.com/feed.xml, en-US, United States
Necuno Solutions, https://necunos.com/feed.xml, en-US, Finland
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
FSFE News, https://fsfe.org/news/news.en.rss, en-US, Germany
FSFE News (DE), https://fsfe.org/news/news.de.rss, de-DE, Germany
FSFE News (FR), https://fsfe.org/news/news.fr.rss, fr-FR, Germany
heise online News, https://www.heise.de/rss/heise-atom.xml, de-DE, Germany
c't Magazin, https://social.heise.de/@ct_Magazin.rss, de-DE, Germany
AlternativeTo News, https://feed.alternativeto.net/news/all/, en-US, United States
Ηρακλής Παπαθεοδώρου • heracl.es, https://heracl.es/el/feed.xml, el-GR, Greece
Heracles Papatheodorou • heracl.es, https://heracl.es/feed.xml, en-US, Greece
lectronice :: now, https://now.lectronice.com/feed.xml, en-US, United States
