name, url, language, country
Linux Professional Institute (LPI), https://www.lpi.org/feed/, en-US, Canada
LinuxConfig, https://linuxconfig.org/feed, en-US, Worldwide
The Logs, https://www.flu0r1ne.net/logs/rss.xml, en-US, United States
Ctrl blog: Fedora Linux, https://feed.ctrl.blog/topic/fedora-linux.atom, en-US, United States
Ctrl blog: Linux, https://feed.ctrl.blog/topic/linux.atom, en-US, United States
Anjan Momi, https://momi.ca/feed.xml, en-US, United States
postmarketOS, https://postmarketos.org/blog/feed.atom, en-US, United States
PureTryOut (Alpine Linux, postmarketOS), https://mastodon.fam-ribbers.com/@bart.rss, en-US, Netherlands
Blog on Bart Ribbers - PureTryOut (Alpine Linux, postmarketOS), https://fam-ribbers.com/blog/index.xml, en-US, Netherlands
LZone | Devops, https://lzone.de/feed/devops.xml, en-US, Germany
Necuno Solutions, https://necunos.com/feed.xml, en-US, Finland
Laslo Hunhold, https://laslo.hunhold.de/index.xml, en-US, Germany
Alpine Linux, https://fosstodon.org/@alpinelinux.rss, en-US, United States
ollieparanoid, https://ollieparanoid.github.io/feed.xml, en-US, United States
FSFE News, https://fsfe.org/news/news.en.rss, en-US, Germany
FSFE News (DE), https://fsfe.org/news/news.de.rss, de-DE, Germany
9to5Linux, https://9to5linux.com/feed, en-US, United States
FSFE News (FR), https://fsfe.org/news/news.fr.rss, fr-FR, Germany
GNOME adventures in mobile, https://blogs.gnome.org/pabloyoyoista/feed/, en-US, United States
Akademy, https://floss.social/@akademy.rss, en-US, United States
KDE, https://floss.social/@kde.rss, en-US, United States
Justine Smithies blog, https://justine.smithies.me.uk/atom.xml, en-US, United States
Justine Smithies, https://fosstodon.org/@JustineSmithies.rss, en-US, United States
TuxPhones, https://tuxphones.com/rss/, en-US, United States
Collabora Office and Collabora Online, https://www.collaboraoffice.com/feed/, en-US, United States
LGUG2Z, https://lgug2z.com/index.xml, en-US, United States
Hugo Barrera's site, https://whynothugo.nl/posts.xml, en-US, United States
Solene'%, https://dataswamp.org/~solene/rss.xml, en-US, United States
Solene'%, https://dataswamp.org/~solene/rss-html.xml, en-US, United States
drkhsh, https://drkhsh.at/atom.xml, en-US, Austria
OpenBSD Webzine, https://webzine.puffy.cafe/atom.xml, en-US, United States
ShadowKat Studios, https://shadowkat.net/rss.xml, en-US, Worldwide
