name, url, language, country
Hacking around oppressions, https://bouah.net/index.xml, en-US, France
The XMPP Blog on XMPP, https://xmpp.org/feeds/all.atom.xml, en-US, Worldwide
Swift IM, https://swift.im/wordpress/index.php/feed/, en-US, Worldwide
Berlin XMPP Meetup, https://mov.im/feed/pubsub.movim.eu/berlin-xmpp-meetup, en-US, Germany
Хомяк diSabler'а, https://dsy.name/feed/, ru-RU, Russia
JabberES.org, https://www.jabberes.org/index.xml, es-ES, Spain
Disroot Blog, https://disroot.org/en/blog.atom, en-US, Worldwide
Hot-Chilli, https://www.hot-chilli.net/feed/, de-DE, Germany
Jabber.de, https://www.jabber.de/?feed=rss2, de-DE, Germany
blabber.im, https://kanoa.de/@blabber.rss, en-US, Worldwide
monocles, https://monocles.social/@monocles.rss, en-US, Germany
Alle Neuigkeiten von jotwewe.de, http://www.jotwewe.de/alles_de.xml, de-DE, Germany
Martins Schmierzettel, https://blog.mdosch.de/index.xml, de-DE, Germany
Christof Meerwald, https://cmeerw.org/blog.atom, en-US, Austria
Alle Neuigkeiten von jotwewe.de, http://www.jotwewe.de/alles_de.xml, en-US, Germany
Alle Neuigkeiten von jotwewe.de, http://www.jotwewe.de/alles_de.xml, de-DE, Germany
Mario Sabatino Gemini capsule, https://gemini.sabatino.cloud/rss.xml, it-IT, Italy
decent.im, http://decent.im/rss.xml, en-US, Germany
JoinJabber, https://joinjabber.org/index.xml, en-US, Worldwide
profanity, https://profanity-im.github.io/blog/index.xml, en-US, Worldwide
XMPP-IT Italian Community, https://www.xmpp-it.net/feed/, it-IT, Italy
jabber.hot-chilli.net, https://jabber.hot-chilli.net/feed/, en-US, Germany
metajack.im, https://metajack.im/atom.xml, en-US, Worldwide
#jabber, https://framapiaf.org/tags/Jabber.rss, en-US, Worldwide
Ignite Realtime, https://discourse.igniterealtime.org/c/blogs/ignite-realtime-blogs/5.rss, en-US, Worldwide
