name, url, language, country
sscall, https://git.2f30.org/sscall/atom.xml, en-US, Worldwide
Swift IM, https://swift.im/wordpress/index.php/feed/, en-US, Worldwide
Kaidan, https://www.kaidan.im/atom.xml, en-US, Worldwide
Dino, https://dino.im/index.xml, en-US, Worldwide
ratox, https://git.2f30.org/ratox/atom.xml, en-US, Worldwide
buzz, https://git.2f30.org/buzz/atom.xml, en-US, Worldwide
mIRC, https://www.mirc.com/feed/, en-US, Worldwide
blabber.im, https://kanoa.de/@blabber.rss, en-US, Worldwide
monocles, https://monocles.social/@monocles.rss, en-US, Germany
Gajim, https://gajim.org/index.xml, en-US, France
Cabal, https://mastodon.social/@cabal.rss, en-US, Worldwide
CoyIM, https://coy.im/feed.xml, en-US, Worldwide
Nextcloud, https://nextcloud.com/feed/, en-US, Worldwide
