name, url, language, country
Jekyll, https://jekyllrb.com/feed.xml, en-US, Worldwide
Hugo, https://gohugo.io/index.xml, en-US, Worldwide
Joomla!, https://www.joomla.org/announcements.feed?type=rss, en-US, Worldwide
Haunt, https://dthompson.us/feed.xml, en-US, Worldwide
Grav Development Blog, https://getgrav.org/blog.atom, en-US, Worldwide
Nikola, https://getnikola.com/rss.xml, en-US, Worldwide
Octopress, http://octopress.org/atom.xml, en-US, Worldwide
Pelican, https://getpelican.com/feeds/all.atom.xml, en-US, Worldwide
Podcast Generator, https://podcastgenerator.net/feed/, en-US, Worldwide
Publii, https://getpublii.com/feed.xml, en-US, Worldwide
Textpattern CMS, https://textpattern.com/rss, en-US, Worldwide
TYPO3, https://typo3.org/rss, en-US, Worldwide
WordPress, https://wordpress.org/news/feed/, en-US, Worldwide
Foswiki, https://foswiki.org/Home/WebRss, en-US, Worldwide
Eleventy, https://www.11ty.dev/blog/feed.xml, en-US, Worldwide
bliper, https://git.2f30.org/bliper/atom.xml, en-US, Worldwide
LinkStack, https://linkstack.org/feed/, en-US, Worldwide
