name, url, language, country
Swift IM, https://swift.im/wordpress/index.php/feed/, en-US, Worldwide
Kaidan, https://www.kaidan.im/atom.xml, en-US, Worldwide
Dino, https://dino.im/index.xml, en-US, Worldwide
CoyIM, https://coy.im/feed.xml, en-US, Worldwide
blabber.im, https://kanoa.de/@blabber.rss, en-US, Worldwide
monocles, https://monocles.social/@monocles.rss, en-US, Germany
JoinJabber, https://joinjabber.org/index.xml, en-US, Worldwide
profanity, https://profanity-im.github.io/blog/index.xml, en-US, Worldwide
Ignite Realtime, https://discourse.igniterealtime.org/c/blogs/ignite-realtime-blogs/5.rss, en-US, Worldwide
Gajim, https://gajim.org/index.xml, en-US, France
Prosody IM, https://fosstodon.org/@prosodyim.rss, en-US, Worldwide
